,id_ev,tipo_ev,nombre_ev,prod_as_ev,fecha_ev,loc_ev,estado,id_cli,fecha_nac,sexo,prov,importe_activos_0,importe_activos_1
0,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Asistido,400237,21/10/1971,H,BIL,104623.0,185796.13
1,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion enviada,386736,25/05/1957,M,MAD,73324.92,75298.18
2,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion aceptada,521788,01/10/1932,H,ZGZ,453724.04,656572.09
3,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion aceptada,599779,15/11/1997,M,BCN,629294.88,701807.02
4,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Asistido,519305,19/06/1945,H,Málaga,709428.79,1356012.86
5,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion aceptada,320505,07/04/1972,H,BCN,140388.24,155426.9
6,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion enviada,385018,04/10/1978,M,madrid,578454.57,694833.99
7,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Asistido,573461,04/08/1934,M,SEV,747875.59,1183797.81
8,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion aceptada,538794,09/09/1930,M,sevilla,407004.88,369895.0
9,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion enviada,515959,13/07/1986,H,ZGZ,199682.76,369432.63
10,881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,Barcelona,Invitacion enviada,536635,03/11/1992,H,zaragoza,740292.9,1316096.91
